lat,lon,flow,size,address,inservice,notes,dryhydrant,outservicedate
42.12512823815364,-89.27161048828748,633,,"102 Perene Ave, Byron, IL 61010, USA",,C08,,
42.12387,-89.27111,1314,,"123 Perene Ave, Byron, IL 61010, United States",,C15,,
42.12256570613109,-89.27157840298662,1564,,"1207 River Dr, Byron, IL 61010, USA",,C16,,
42.1268493435634,-89.25104024959592,1393,,"203 N Peru St, Byron, IL 61010, USA",,H01,,
42.12924287092742,-89.25138486506489,1314,,"335 E 4th St, Byron, IL 61010, USA",,H17,,
42.1302217,-89.2514404,1258,,"498 N Peru St, Byron, IL 61010, United States",,H21,,
42.1253683,-89.2512403,1505,,"100 S Peru St, Byron, IL 61010, United States",,B04,,
42.09059,-89.29694,1564,,"N Razorville Rd, Byron, IL 61010, United States",,I12,,
42.08748,-89.29678,,,"4629 N Razorville Rd, Byron, IL 61010, United States",,I14,,
42.0879289,-89.2971033,,,"4800 N Razorville Rd, Byron, IL 61010, United States",,I13,,
42.0887363,-89.2971064,1696,,"5200 N Razorville Rd, Byron, IL 61010, United States",,I15,,
42.0889382,-89.2971072,1653,,"5300 N Razorville Rd, Byron, IL 61010, United States",,I16,,
42.08927,-89.297,1717,,"5458 N Razorville Rd, Byron, IL 61010, United States",,I17,,
42.0893684,-89.2971088,1564,,"5600 N Razorville Rd, Byron, IL 61010, United States",,I18,,
42.09732,-89.29606,1444,,"5749 N Razorville Rd, Byron, IL 61010, United States",,I19,,
42.10094,-89.29957,,,"5924 N Razorville Rd, Byron, IL 61010, United States",,I20,,
42.10341,-89.29888,1341,,"6120 N Razorville Rd, Byron, IL 61010, United States",,I21,,
42.10607,-89.29848,1393,,"6170 N Razorville Rd, Byron, IL 61010, United States",,I22,,
42.122440534650664,-89.26547524618724,1517,,803 River Dr Byron IL 61010 United States,,C10,,
42.12291,-89.26759,1517,,"915 River Dr, Byron, IL 61010, United States",,C12,,
42.12336,-89.26815,1444,,"927 River Ln, Byron, IL 61010, United States",,C05,,
42.0940002,-89.3165634,1587,,"5393 N River Rd, Byron, IL 61010, United States",,I49,,
42.0986127,-89.3093124,1469,,"6021 N River Rd, Byron, IL 61010, United States",,I23,,
42.10544,-89.29978,1444,,"6387 N River Rd, Byron, IL 61010, United States",,I10,,
42.10873,-89.29608,1505,,"6501 N River Rd, Byron, IL 61010, United States",,I09,,
42.11393,-89.28836,1419,,"6849 N River Rd, Byron, IL 61010, United States",,I08,,
42.116193186154824,-89.28410821782994,1457,,6993 N River Rd Byron IL 61010 United States,,M15,,
42.1162128,-89.2837862,1457,,"7015 N River Rd, Byron, IL 61010, United States",,M14,,
42.1171124,-89.2803218,1444,,"7075 N River Rd, Byron, IL 61010, United States",,M12,,
42.11692,-89.28045,1444,,"7083 N River Rd, Byron, IL 61010, United States",,M13,,
42.11786910135562,-89.27270964348702,1444,,7297–7317 N River Rd Byron IL 61010 United States,,M10,,
42.11853,-89.27656,1493,,"7184 N River Rd, Byron, IL 61010, United States",,M11,,
42.1177851,-89.2718409,1457,,"7283 N River Rd, Byron, IL 61010, United States",,M09,,
42.117862279324626,-89.2713495940282,1493,,7373 N River Rd Byron IL 61010 United States,,M08,,
42.117862279324626,-89.2713495940282,1469,,7373 N River Rd Byron IL 61010 United States,,M07,,
42.11822319377682,-89.26956201213464,1541,,7399–7537 N River Rd Byron IL 61010 United States,,M06,,
42.11884911589684,-89.26780387293157,1367,,7399–7537 N River Rd Byron IL 61010 United States,,M05,,
42.119199909864115,-89.26619595457193,1587,,7539–7609 N River Rd Byron IL 61010 United States,,M04,,
42.1190792,-89.2620457,1444,,"7705 N River Rd, Byron, IL 61010, United States",,M03,,
42.1189163,-89.260497,1444,,"7863 N River Rd, Byron, IL 61010, United States",,M02,,
42.11894617530961,-89.259889011411,1609,,7943–8049 N River Rd Byron IL 61010 United States,,M01,,
42.09578481814219,-89.31063725652837,,,220 E Rockvale Dr Byron IL 61010 United States,,I33,,
42.11802,-89.25362,1393,,"7157 CR-2, Byron, IL 61010, United States",,I03,,
42.13106,-89.24009,1505,,"8035 N Ryan Cir, Byron, IL 61010, United States",,H27,,
42.1268879,-89.2519676,1393,,"431 E 2nd St, Byron, IL 61010, United States",,H02,,
42.1262487,-89.267782,1367,,"1014 W 2nd St, Byron, IL 61010, United States",,D09,,
42.12671,-89.2727,1327,,"1165 W 2nd St, Byron, IL 61010, United States",,D10,,
42.12671,-89.2727,1393,,"1177 W 2nd St, Byron, IL 61010, United States",,D11,,
42.12602,-89.27305,0,,"1182 W 2nd St, Byron, IL 61010, United States",,D12,,
42.126676341594944,-89.2577325601788,1258,,"200 N Walnut St, Byron, IL 61010, USA",,D01,,
42.1263,-89.25848,1286,,"232 W 2nd St, Byron, IL 61010, United States",,D18,,
42.1265524,-89.2662752,1367,,"733 W 2nd St, Byron, IL 61010, United States",,D05,,
42.12616,-89.26572,1406,,"802 W 2nd St, Byron, IL 61010, United States",,D05.5,,
42.12605,-89.26661,1393,,"830 W 2nd St, Byron, IL 61010, United States",,D06,,
42.1262651,-89.2671068,1354,,"932 W 2nd St, Byron, IL 61010, United States",,D07,,
42.13581,-89.2837,1469,,"762 Seven Hickory Rd, Byron, IL 61010, United States",,J03,,
42.13685426679442,-89.28346640915606,1469,,"838 7 Hickory Rd, Byron, IL 61010, USA",,J02,,
42.1383,-89.28694,1469,,"1001 Shadow Wood Dr, Byron, IL 61010, United States",,J16,,
42.13879,-89.28694,1444,,"1027 Shadow Wood Dr, Byron, IL 61010, United States",,J17,,
42.13951,-89.28696,1444,,"1057 Shadow Wood Dr, Byron, IL 61010, United States",,J18,,
42.13721,-89.28606,1341,,"2102 Silverthorn Dr, Byron, IL 61010, United States",,J14,,
